ID,Site,Year,Day,Hour,Dive Count
MO102,Moraine,2019,3,10,28
MO102,Moraine,2019,3,11,25
MO102,Moraine,2019,3,12,21
MO102,Moraine,2019,3,13,19
MO102,Moraine,2019,3,14,19
MO102,Moraine,2019,3,15,21
MO102,Moraine,2019,3,16,21
MO102,Moraine,2019,3,17,22
MO102,Moraine,2019,3,18,21
MO102,Moraine,2019,3,19,36
MO102,Moraine,2019,3,20,43
HC71,Harrison Cove,2020,1,5,11
HC71,Harrison Cove,2020,1,6,19
HC71,Harrison Cove,2020,1,7,38
HC71,Harrison Cove,2020,1,8,29
HC71,Harrison Cove,2020,1,9,45
HC71,Harrison Cove,2020,1,10,84
HC71,Harrison Cove,2020,1,11,62
HC71,Harrison Cove,2020,1,12,56
HC71,Harrison Cove,2020,1,13,40
HC71,Harrison Cove,2020,1,14,41
HC71,Harrison Cove,2020,1,15,51
HC71,Harrison Cove,2020,1,16,41
HC71,Harrison Cove,2020,1,17,51
HC71,Harrison Cove,2020,1,18,13
HC75,Harrison Cove,2020,1,14,11
HC75,Harrison Cove,2020,1,15,8
HC75,Harrison Cove,2020,1,16,9
HC75,Harrison Cove,2020,1,17,20
HC75,Harrison Cove,2020,1,19,1
HC75,Harrison Cove,2020,2,4,2
HC75,Harrison Cove,2020,2,5,3
HC75,Harrison Cove,2020,2,6,18
HC75,Harrison Cove,2020,2,7,25
HC75,Harrison Cove,2020,2,8,18
HC75,Harrison Cove,2020,2,9,30
HC75,Harrison Cove,2020,2,10,38
HC75,Harrison Cove,2020,2,11,27
HC75,Harrison Cove,2020,2,12,23
HC75,Harrison Cove,2020,2,13,27
HC75,Harrison Cove,2020,2,14,50
HC75,Harrison Cove,2020,2,15,40
HC75,Harrison Cove,2020,2,16,21
HC75,Harrison Cove,2020,3,6,21
HC75,Harrison Cove,2020,3,7,35
HC75,Harrison Cove,2020,3,8,25
HC75,Harrison Cove,2020,3,9,26
HC75,Harrison Cove,2020,3,10,28
HC75,Harrison Cove,2020,3,11,29
HC75,Harrison Cove,2020,3,12,31
HC75,Harrison Cove,2020,3,13,33
HC75,Harrison Cove,2020,3,14,28
HC75,Harrison Cove,2020,3,15,33
HC75,Harrison Cove,2020,3,16,47
HC75,Harrison Cove,2020,3,17,39
HC75,Harrison Cove,2020,4,6,13
HC75,Harrison Cove,2020,4,7,33
HC75,Harrison Cove,2020,4,8,27
HC75,Harrison Cove,2020,4,9,40
HC75,Harrison Cove,2020,4,10,42
HC75,Harrison Cove,2020,4,11,37
HC75,Harrison Cove,2020,4,12,34
HC75,Harrison Cove,2020,4,13,4
HC75,Harrison Cove,2020,4,17,15
HC75,Harrison Cove,2020,4,18,36
HC75,Harrison Cove,2020,4,19,14
HC76,Harrison Cove,2020,1,6,49
HC76,Harrison Cove,2020,1,7,53
HC76,Harrison Cove,2020,1,8,78
HC76,Harrison Cove,2020,1,9,62
HC76,Harrison Cove,2020,1,10,63
HC76,Harrison Cove,2020,1,11,62
HC76,Harrison Cove,2020,1,12,46
HC76,Harrison Cove,2020,1,13,27
HC76,Harrison Cove,2020,1,14,15
HC76,Harrison Cove,2020,1,15,40
HC76,Harrison Cove,2020,1,16,36
HC76,Harrison Cove,2020,1,17,42
HC76,Harrison Cove,2020,1,18,53
HC79,Harrison Cove,2020,1,5,18
HC79,Harrison Cove,2020,1,6,35
HC79,Harrison Cove,2020,1,7,44
HC79,Harrison Cove,2020,1,8,31
HC79,Harrison Cove,2020,1,9,37
HC79,Harrison Cove,2020,1,10,32
HC79,Harrison Cove,2020,1,11,45
HC79,Harrison Cove,2020,1,12,41
HC79,Harrison Cove,2020,1,13,42
HC79,Harrison Cove,2020,1,14,38
HC79,Harrison Cove,2020,1,15,44
HC79,Harrison Cove,2020,1,16,47
HC79,Harrison Cove,2020,1,17,52
HC79,Harrison Cove,2020,1,18,51
HC79,Harrison Cove,2020,1,19,13
HC79,Harrison Cove,2020,2,5,19
HC79,Harrison Cove,2020,2,6,43
HC79,Harrison Cove,2020,2,7,32
HC79,Harrison Cove,2020,2,8,42
HC79,Harrison Cove,2020,2,9,57
HC79,Harrison Cove,2020,2,10,23
HC79,Harrison Cove,2020,2,11,53
HC79,Harrison Cove,2020,2,12,60
HC79,Harrison Cove,2020,2,13,3
HC81,Harrison Cove,2020,1,4,3
HC81,Harrison Cove,2020,1,5,3
HC81,Harrison Cove,2020,1,6,26
HC81,Harrison Cove,2020,1,7,67
HC81,Harrison Cove,2020,1,8,43
HC81,Harrison Cove,2020,1,9,51
HC81,Harrison Cove,2020,1,10,43
HC81,Harrison Cove,2020,1,11,27
HC81,Harrison Cove,2020,2,3,2
HC81,Harrison Cove,2020,2,4,3
HC81,Harrison Cove,2020,2,5,3
HC81,Harrison Cove,2020,2,6,32
HC81,Harrison Cove,2020,2,7,30
HC81,Harrison Cove,2020,2,8,36
HC81,Harrison Cove,2020,2,9,49
HC81,Harrison Cove,2020,2,10,34
HC81,Harrison Cove,2020,2,11,32
HC81,Harrison Cove,2020,2,12,46
HC81,Harrison Cove,2020,2,13,8
HC81,Harrison Cove,2020,3,5,9
HC81,Harrison Cove,2020,3,6,35
HC81,Harrison Cove,2020,3,7,50
HC81,Harrison Cove,2020,3,8,51
HC81,Harrison Cove,2020,3,9,32
HC81,Harrison Cove,2020,3,10,31
HC81,Harrison Cove,2020,3,11,38
HC81,Harrison Cove,2020,3,12,34
HC81,Harrison Cove,2020,3,13,12
HC81,Harrison Cove,2020,3,16,11
HC81,Harrison Cove,2020,3,17,59
HC81,Harrison Cove,2020,3,18,5
HC81,Harrison Cove,2020,4,15,16
HC81,Harrison Cove,2020,4,16,45
HC81,Harrison Cove,2020,4,17,64
HC81,Harrison Cove,2020,4,18,63
HC81,Harrison Cove,2020,4,19,1
HC83,Harrison Cove,2020,1,5,28
HC83,Harrison Cove,2020,1,6,47
HC83,Harrison Cove,2020,1,7,38
HC83,Harrison Cove,2020,1,8,47
HC83,Harrison Cove,2020,1,9,31
HC83,Harrison Cove,2020,1,10,20
HC83,Harrison Cove,2020,1,11,21
HC83,Harrison Cove,2020,1,12,17
HC83,Harrison Cove,2020,1,13,17
HC83,Harrison Cove,2020,1,14,16
HC83,Harrison Cove,2020,1,15,17
HC83,Harrison Cove,2020,1,16,14
HC83,Harrison Cove,2020,1,17,25
HC83,Harrison Cove,2020,1,18,31
HC83,Harrison Cove,2020,1,19,34
HC83,Harrison Cove,2020,1,21,4
HC83,Harrison Cove,2020,2,2,2
HC83,Harrison Cove,2020,2,5,17
HC83,Harrison Cove,2020,2,6,23
HC83,Harrison Cove,2020,2,7,17
HC83,Harrison Cove,2020,2,8,19
HC83,Harrison Cove,2020,2,9,17
